Origen,E02006825,E02003719,E02003720,E02003721,E02003722,E02003723,E02003724,E02003725,E02003726,E02003727,E02003728,E02003729,E02003730,E02003731,E02003732,E02003733,E02003734,E02003735,E02003736,E02003737,E02003738,E02003739,E02006873,E02003740,E02006874,E02003742,E02003743,E02006877,E02003744,E02006878,E02003745,E02003746,E02003747,E02003748,E02003749,E02003750,E02003751,E02003752,E02003753,E02003754,E02003755,E02003756,E02003237,E02003757,E02003238,E02003758,E02003239,E02003759,E02003240,E02003760,E02003241,E02003761,E02003242,E02003762,E02003243,E02003763,E02003244,E02003764,E02003245,E02003765,E02003246,E02003766,E02003247,E02003767,E02003248,E02003768,E02003249,E02003769,E02003250,E02003770,E02003251,E02003771,E02003252,E02003772,E02003253,E02003773,E02003254,E02003774,E02003775,E02003255,E02003776,E02003257,E02003777,E02003778,E02003779,E02003780,E02003781,E02003783,E02003784,E02003785,E02003786,E02003787,E02003788,E02003789,E02003790,E02003791,E02003792,E02003793
E02003744,2,1,1,1,0,0,1,0,1,1,1,2,2,0,13,12,8,10,9,11,4,0,3,2,3,694,901,13,1301,12,776,123,87,120,60,132,110,82,18,7,11,1,10,3,12,3,12,1,7,1,32,6,10,3,14,5,7,3,14,1,16,5,12,1,9,5,14,1,18,2,6,0,22,1,9,0,6,2,6,16,0,8,2,2,1,3,0,7,2,2,2,0,0,0,7,1,1,3
E02006878,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,35,0,66,0,0,13,2,4,1,0,3,41,21,5,5,11,2,12,2,13,2,0,2,14,0,8,2,12,2,9,3,9,0,7,3,8,0,11,4,28,0,16,2,8,1,15,1,19,0,14,0,0,24,0,23,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
E02003745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,4,2,0,0,0,0,1,70,101,2,102,4,245,40,26,53,18,30,29,26,5,0,1,5,0,4,1,2,1,0,1,1,9,1,0,0,5,0,1,0,2,2,1,0,1,0,0,3,3,0,0,0,1,0,4,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
E02003746,4,3,1,4,0,0,1,0,0,1,1,2,0,0,17,25,23,10,22,11,6,2,1,4,1,87,125,17,190,13,254,501,86,499,69,418,265,142,11,3,18,2,13,10,9,16,15,1,7,3,15,4,12,3,20,6,25,3,12,4,22,10,15,2,29,5,14,1,25,0,6,0,24,2,22,1,9,1,3,28,5,16,2,2,2,5,0,3,1,0,0,0,2,0,7,1,1,0
E02003747,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,3,4,2,2,1,0,0,3,0,6,12,23,17,24,31,16,504,12,223,11,19,19,54,25,20,3,11,4,15,4,19,2,7,1,38,0,20,1,17,2,24,0,19,4,21,0,9,2,26,2,30,2,27,0,9,2,32,3,50,0,21,0,0,67,0,24,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
E02003748,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,1,1,1,0,0,1,13,11,0,23,4,38,97,11,112,17,123,62,41,3,0,5,0,0,0,1,1,3,3,0,0,3,0,5,0,1,1,1,1,2,1,6,2,1,0,13,0,2,0,3,0,0,0,2,0,2,0,5,0,1,2,0,0,0,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0
E02003749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,3,4,0,0,0,1,0,12,19,12,44,11,16,28,248,32,165,19,21,31,39,13,44,10,12,4,10,5,22,7,8,2,17,1,15,1,18,2,17,2,13,1,11,0,7,1,17,3,17,1,13,0,3,1,20,0,21,0,24,0,0,29,0,22,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
E02003750,0,3,0,1,3,0,0,0,0,0,1,3,0,0,6,8,13,11,8,9,1,0,0,0,0,24,40,2,47,5,81,195,41,220,28,195,115,79,4,4,5,1,6,10,2,8,2,3,1,0,7,0,3,2,8,3,4,1,3,1,4,0,1,1,1,2,4,3,5,1,2,1,5,0,3,0,4,0,3,3,1,1,0,1,0,0,0,0,0,0,0,2,0,1,4,1,0,0
E02003751,0,0,0,1,2,1,1,0,0,0,1,0,0,1,2,11,4,10,15,8,2,1,1,0,1,17,21,0,20,1,51,92,18,86,32,91,192,88,0,1,17,0,0,4,0,4,2,2,0,1,2,1,4,4,1,4,0,3,0,0,0,1,2,1,0,0,0,2,4,3,0,2,3,0,0,0,0,0,6,5,2,0,2,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0
E02003752,2,1,1,3,3,1,0,0,1,0,0,0,0,0,18,40,37,25,29,24,3,4,1,1,6,15,40,2,51,6,39,110,29,118,48,91,212,585,11,3,35,2,1,20,1,40,1,10,0,8,1,6,2,7,14,11,18,9,15,5,29,12,8,1,18,16,19,2,33,4,4,1,4,2,8,3,7,0,8,22,3,5,6,5,3,4,3,4,5,2,1,1,1,1,5,0,1,0
