MSOA11CD,MSOA11NM
E01033176,Peterborough 023C
E01033177,Peterborough 023D
E01033178,Peterborough 023E
E01033179,Peterborough 022D
E01033180,Peterborough 023F
E01033181,Peterborough 022E
E01033182,Peterborough 016G
E01015598,Peterborough 015A
E01015599,Peterborough 014A
E01015600,Peterborough 014B
E01015601,Peterborough 012A
E01015602,Peterborough 014C
E01015603,Peterborough 010A
E01015604,Peterborough 010B
E01015605,Peterborough 008A
E01015606,Peterborough 013A
E01015607,Peterborough 007A
E01015608,Peterborough 008B
E01015609,Peterborough 007B
E01015610,Peterborough 008C
E01015611,Peterborough 013B
E01015612,Peterborough 014D
E01015613,Peterborough 013C
E01015614,Peterborough 013D
E01015615,Peterborough 013E
E01015616,Peterborough 013F
E01015617,Peterborough 005A
E01015618,Peterborough 005B
E01015619,Peterborough 005C
E01015620,Peterborough 005D
E01015621,Peterborough 017A
E01015622,Peterborough 016A
E01015623,Peterborough 017B
E01015624,Peterborough 017C
E01015626,Peterborough 004C
E01015627,Peterborough 018A
E01015628,Peterborough 004D
E01015629,Peterborough 001A
E01015630,Peterborough 003A
E01015631,Peterborough 003B
E01015632,Peterborough 010C
E01015633,Peterborough 008D
E01032792,Cambridge 003F
E01015634,Peterborough 008E
E01032794,Cambridge 012E
E01015635,Peterborough 001B
E01032795,Cambridge 012F
E01015636,Peterborough 001C
E01032797,Cambridge 007G
E01015637,Peterborough 021A
E01015638,Peterborough 022A
E01015639,Peterborough 021B
E01015640,Peterborough 021C
E01032802,Cambridge 003G
E01015641,Peterborough 021D
E01015642,Peterborough 021E
E01015643,Peterborough 023A
E01015644,Peterborough 018B
E01015645,Peterborough 018C
E01015646,Peterborough 018D
E01015647,Peterborough 021F
E01015648,Peterborough 018E
E01015650,Peterborough 022B
E01015651,Peterborough 012B
E01015652,Peterborough 012C
E01015653,Peterborough 012D
E01015654,Peterborough 012E
E01015655,Peterborough 014E
E01015656,Peterborough 007C
E01015657,Peterborough 007D
E01015658,Peterborough 007E
E01015659,Peterborough 003C
E01015660,Peterborough 007F
