0,2,0,2,0,4,2,2,22,106,86,2,2,2,2,0,0,0,2,2,0,2,4,0,2,0,2,4,2,2,2,0,0,0,4,2,0,0,4,0,4,0,0,0,2,2,0,8,18,6,0,8,0,0,0,10,2,0,0,2,2,2,0,0,0,6,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,2,0,42,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,2,6,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,2,0,0,2,6,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0
2,6,4,14,6,14,12,10,6,4,8,124,92,2,4,10,10,8,4,0,6,6,10,0,10,0,6,2,32,2,0,2,24,42,6,2,24,20,4,6,8,12,0,6,4,8,12,10,8,8,6,0,4,2,0,22,10,12,8,14,2,0,4,2,0,0,2,4,4,2,6,6,2,4,6,4,6,0,4,0,2,4,6,6,2,4,4,0,2,2,0,4,2,4,6,6,0,0,2,4,14,0,0,0,12,2,0,2,14,2,4,2,38,0,2,2,14,2,6,14,0,4,28,4,4,8,2,12,8,6,0,0,4,4,4,2,0,0,0,2,10,2,2,0,2,2,8,4,4,2,0,4,6,4,14,2,4,12,0,0,8,4,8,6,2,4,4,0,0,0,4,2,0,0,0,0,0,0,4,0,2,4,0,2,2,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,6,0,2,14,10,6
0,0,0,2,8,6,10,6,0,2,0,16,92,0,0,4,0,0,0,0,0,0,2,4,2,0,2,4,2,0,0,0,12,22,0,4,12,6,4,2,2,6,4,2,0,0,2,0,0,0,2,2,2,4,2,4,6,4,0,6,0,2,0,2,2,2,0,4,0,0,0,6,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,2,0,4,2,2,0,0,2,2,2,0,0,2,0,0,0,2,2,0,0,2,0,0,2,4,8,0,2,0,2,2,2,2,0,2,10,0,2,2,0,0,0,0,6,0,4,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,2,2,0,0,0,0,2,0,2,0,6,2,4,2,0,0,2,0,2,0,2,2,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,2,0,0,0,2,0,0,4,2,0,2,0,0,2,0,0,2,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,12,6,2,0,4,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,4,0,2,0,0,0
0,0,0,16,8,16,6,0,0,2,0,4,10,2,36,32,44,36,16,6,0,4,0,4,4,4,0,0,2,0,4,2,8,6,2,0,2,2,2,18,4,8,10,0,4,2,20,4,0,0,4,0,2,2,8,4,0,6,2,0,4,4,4,0,2,2,14,0,4,0,0,10,6,6,4,2,4,8,0,2,6,2,0,0,0,0,0,2,2,2,2,0,0,4,8,0,0,4,2,2,4,4,2,6,0,2,0,10,0,6,0,12,0,2,0,0,4,2,2,2,2,0,12,0,20,0,4,6,8,2,14,4,22,6,2,2,10,8,4,0,6,0,0,0,0,0,4,2,0,0,0,0,0,0,8,2,0,0,2,0,2,0,4,0,0,8,0,0,0,2,2,6,10,4,0,12,10,6,2,0,4,2,4,2,0,0,8,0,4,20,14,4,2,0,2,6,4,2,2,4,4,4,2,8,2,18,12,4,12,6,2,2,2,2,4
0,0,0,6,2,2,0,0,0,0,0,2,4,0,58,62,58,48,10,2,0,0,0,0,4,0,2,0,0,4,4,4,6,2,2,4,0,0,8,0,2,10,6,0,0,0,8,0,2,0,0,2,0,6,4,0,0,2,0,0,0,0,0,0,0,2,4,0,0,0,6,2,0,6,4,0,0,2,0,0,6,0,0,0,0,4,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,4,0,4,0,2,0,10,4,0,0,12,8,0,6,0,2,2,0,0,10,6,0,8,10,0,8,0,24,4,2,4,8,4,6,4,0,0,2,0,0,2,0,0,0,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,2,4,2,2,2,0,0,0,0,0,2,0,2,16,4,0,0,0,0,2,0,2,4,0,0,8,2,0,4,2,0,0,2,4,2,4,2,4,0,2,0,2,14,6,2,0,0,0,4,0,0
0,0,0,0,4,2,0,0,0,0,0,0,0,0,26,44,42,38,6,0,0,2,0,0,0,0,0,0,2,4,0,0,0,4,0,0,0,0,0,6,2,4,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0
0,0,2,2,4,2,0,0,0,0,0,2,4,0,24,38,66,54,6,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,4,0,2,2,4,10,0,2,10,0,0,0,6,2,2,0,2,2,4,0,6,0,0,0,0,0,0,2,4,2,0,0,0,0,4,0,4,4,0,0,0,2,0,4,0,0,8,0,2,0,0,0,0,0,2,2,0,2,0,0,2,2,2,8,0,8,0,0,0,0,0,0,0,0,2,2,0,4,0,4,0,6,0,0,0,2,4,0,4,2,18,0,0,6,4,2,2,0,22,0,2,0,2,4,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,2,8,4,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,10,6,2,2,0,0,0,2,0,2
0,2,2,4,14,14,0,2,0,0,0,6,6,4,12,2,8,20,72,0,0,0,0,0,4,2,4,0,0,10,10,4,2,4,0,2,0,4,12,4,12,2,4,0,0,0,12,0,4,0,2,2,0,0,4,0,2,2,0,2,0,6,2,0,0,0,2,2,0,2,0,6,2,6,4,2,0,2,2,0,0,2,0,2,2,2,2,0,0,2,0,0,4,0,2,0,0,0,0,0,4,0,2,2,10,2,0,0,4,2,0,2,2,0,0,0,6,0,0,4,0,0,4,0,10,6,0,4,4,0,4,0,16,4,2,8,0,4,4,2,0,2,0,0,0,0,2,2,0,0,4,2,2,0,2,0,0,0,2,0,0,0,0,2,6,0,2,0,2,4,0,0,8,0,0,0,2,0,0,0,0,0,2,2,2,8,0,4,0,0,2,2,0,0,0,0,0,0,0,0,2,4,6,0,0,6,2,8,6,0,2,0,0,0,0
6,12,6,8,4,6,6,0,8,12,0,6,10,4,4,4,2,0,2,80,40,12,20,2,4,4,2,0,2,2,0,0,4,6,6,0,4,0,2,4,6,4,0,14,8,24,12,16,16,12,6,4,6,2,0,14,4,4,2,8,2,20,2,18,2,42,0,34,0,22,0,2,0,2,4,4,4,4,0,16,4,22,0,8,4,8,2,20,0,6,2,28,2,6,8,6,2,0,0,6,6,0,6,4,6,0,4,0,8,4,2,0,8,2,6,4,0,0,42,6,4,14,6,4,2,4,2,2,0,2,0,2,2,2,2,6,0,0,0,8,2,0,4,4,4,0,6,6,4,6,0,4,0,2,6,4,2,2,4,8,6,2,4,0,0,0,4,4,2,2,0,6,2,8,0,2,0,0,2,0,2,4,2,6,0,2,0,0,4,0,6,2,2,2,2,2,4,0,0,2,0,0,2,0,8,2,0,4,4,8,0,4,2,2,2
0,0,6,0,4,0,0,0,0,4,2,4,4,2,0,2,2,0,2,48,40,2,2,0,0,0,2,2,0,0,0,0,2,0,0,2,2,4,0,0,0,0,0,2,2,2,4,2,2,4,0,0,0,4,2,2,0,0,0,0,0,4,0,10,0,4,0,2,0,2,0,0,0,2,0,10,0,0,0,2,2,12,0,0,0,2,0,0,0,6,4,2,0,2,0,0,0,0,2,0,0,2,0,2,2,0,2,0,0,2,0,2,0,0,0,2,0,0,14,0,0,12,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,6,2,0,0,0,0,0,0,2,0,0,2,0,2,0,2,2,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,2,4,2,0,0,6,4,6,2,0,0,2,0,0,2,0,10,58,6,0,0,0,0,0,0,4,0,0,2,2,2,0,0,6,0,0,6,0,4,0,0,0,2,16,2,4,4,2,0,2,0,10,2,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,10,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
0,0,2,0,0,6,0,0,8,4,6,0,0,0,4,0,0,0,4,8,2,12,100,2,0,0,0,0,4,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,4,2,20,14,16,12,10,2,0,0,4,0,0,0,0,0,0,0,8,0,6,0,2,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,6,2,8,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,0,0,0,0,4,2,0,8,2,0,4,2,0,2,0,0,2,2,0,2,2,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
